企业利润,平台利润,消费者总效益,flag
9871.35,2057.6,40895.9,0
9893.2,1955.39,46866.15,0
10656.61,1942.64,29983.4,0
9417.32,3665.71,41926.83,0
10365.74,2628.37,46902.45,0
5731.31,5119.09,45072.71,0
7130.86,2526.69,48419.73,0
6606.15,2653.49,33619.56,0
6412.15,2883.71,38391.09,0
4603.66,3031.03,41484.94,0
4247.31,2732.45,38191.97,0
7802.12,2210.26,50051.22,0
4239.46,2884.39,55005.46,0
2674.1,5119.57,52029.65,0
8630.98,1809.48,25218.12,1
7410.04,1834.37,48740.42,0
8130.58,3259.87,37618.49,0
5769.72,2282.15,40291.24,0
10134.56,2067.51,43764.33,0
6437.61,2908.26,46618.7,0
7052.75,2507.97,35364.58,0
3603.14,4148.03,47858.85,0
8034.71,2212.53,41666.48,0
2805.35,5660.95,37811.01,0
10425.75,1677.16,50376.43,0
7568.52,1818.52,36864.4,0
9496.34,2256.54,44169.74,0
4789.22,4680.38,46786.26,0
6171.7,1919.09,49156.99,0
8581.89,1900.05,48304.4,0
9211.34,1772.42,25161.19,1
7293.54,2955.71,38271.57,0
3842.21,3626.86,33984.13,0
1238.79,2086.02,67880.75,1
9587.97,1986.72,43070.55,0
6403.5,2294.75,46208.9,0
6204.36,1870.17,36803.67,0
5458.13,2070.59,43217.34,0
4043.45,5461.07,44090.75,0
9012.44,2254.32,29717.95,0
7249.76,1872.02,35062.25,0
2071.34,2023.67,61851.86,0
2900.51,2083.35,38616.26,1
2771.48,3586.42,43456.8,0
6920.48,3967.93,30674.44,0
9243.81,1855.14,35745.66,0
6452.28,1746.15,45852.6,0
10656.32,1695.33,34577.47,0
5951.83,4847.15,33979.4,0
7490.62,4703.04,35688.13,0
2109.56,2928.85,39222.65,0
7704.04,2774.56,44494.07,0
10524.0,2103.33,43609.39,0
5045.97,5122.58,53575.77,0
6405.59,2226.34,52546.41,0
10311.65,2892.14,38179.92,0
8584.56,2223.84,55568.14,0
10177.02,2304.56,46894.92,0
6796.24,2208.89,54961.89,0
5196.08,3457.98,55506.75,0
9072.11,2258.88,28130.83,0
9695.77,2280.73,34721.83,0
9427.97,2486.51,51022.57,0
7003.87,1960.23,44508.95,0
7401.12,4256.14,27438.92,0
9888.26,2091.2,31904.72,0
10957.0,1382.07,39798.33,0
7182.01,4086.72,38983.77,0
9494.92,2179.32,41072.35,0
