企业利润,平台利润,消费者总效益
3000.572752,7615.276669,46622.94515
11502.27859,2436.867791,46622.00207
9686.01746,-1429.538203,60644.57355
1811.945499,3566.364803,65256.23089
3938.036256,7675.79841,40049.82583
8412.372206,-1244.887568,68757.05791
9403.778226,-772.0725921,66560.9624
10775.18911,-102.653471,55259.62205
9836.698167,-1068.374477,58775.0588
1553.213219,2230.047087,70531.60121
9052.222254,-1337.442172,67075.56595
9440.054897,-1985.083321,66536.09302
4641.899045,7554.914533,41883.1782
6402.638612,7068.648844,38654.88204
3251.953255,4658.328973,62350.48534
6672.873678,6978.23251,32612.25572
2490.620215,4211.049201,63520.27991
11941.34808,1836.532517,35850.45956
6744.183501,3908.635252,56264.53009
3270.552999,4053.989135,62801.87552
11100.11181,3085.771489,39603.70372
7230.381092,84.22522875,69566.49768
1568.956505,2066.868579,70716.01556
10933.41626,-631.659875,55347.77543
4097.810275,1123.297267,69734.94023
7261.488872,7.263033567,69543.40434
9327.222898,3114.718346,52724.67878
8546.097172,2366.737278,53233.20837
5789.508669,7366.795118,37037.20402
9232.331865,-2112.300264,66819.13586
11194.0133,2826.959107,48772.73031
7643.352132,6666.087965,49955.08822
11388.24838,2769.282968,40436.76879
8585.274862,-2267.08665,68457.16711
10077.24245,2625.48019,51869.41674
2792.681155,4628.218913,62725.49406
9422.083221,3495.516812,50551.47035
4320.221062,7556.610181,56187.50283
9665.689642,-1646.258649,66104.53582
6391.163877,7127.776961,36788.16827
6398.880483,7091.634555,36812.43945
8823.776905,-68.92210025,67029.6689
2273.200847,3890.044531,64868.84561
5799.155069,7235.62508,41214.08021
3572.240299,2614.861277,64063.35449
11592.43955,2654.050848,39764.93369
6196.930519,7114.854983,49636.69277
10164.13883,5383.008181,49344.00085
10507.1981,5255.92753,44995.45925
9610.693564,-1510.158055,65947.87331
3171.503811,3943.585916,63750.26585
11281.19082,3958.976639,35124.76749
3598.968745,823.6045661,70405.14853
6341.726286,421.8291579,69769.91314
2630.072427,3121.442937,64817.8671
9116.252071,3243.124834,52555.67139
2926.577908,4871.287088,62296.95395
9102.87734,1493.852093,59825.61064
10729.79722,877.9921644,53851.8646
2527.100393,4207.895577,63579.32408
10891.60596,-630.6930594,55415.35885
8438.049241,-1920.062945,68743.70774
2240.885313,3870.257995,64897.8457
7137.700311,3588.939305,59350.68205
11078.97609,4850.73946,34282.49827
8672.321889,554.3428435,67220.30082
11770.51495,1682.993683,46559.02255
8543.986377,2080.667063,57716.67941
2669.407473,4748.966254,63124.31439
6148.01581,7048.468566,51529.35957
3374.252255,4565.196869,61798.69274
7762.086496,-409.4804266,69545.11959
9260.006963,147.1044222,66342.1201
3521.935387,864.6911938,70616.69755
4242.487788,7337.63525,56354.28694
11970.94623,1869.683337,35844.3885
8529.262047,-1943.124509,68570.03499
2155.40763,3478.04594,64994.15898
8697.668589,-660.6053485,67171.56023
11472.35191,2160.801326,48699.95643
6629.911777,7061.164305,29639.27935
10750.67495,1365.44363,50749.97272
6102.711466,7290.146189,29688.69483
11958.70643,1811.697194,37553.07329
11332.19754,2823.031058,35981.18568
9875.718685,1061.570039,55689.50663
10370.84493,2222.49383,52010.06778
8638.939537,-315.2909333,67659.58721
9295.520933,6005.32587,35128.34259
6851.87085,5511.677123,53867.30974
5809.988624,6839.289572,54708.19557
3238.273972,6467.297116,59066.00597
10322.46849,5220.658769,49432.95864
6444.947104,7012.21253,46321.01609
4368.046911,2226.858125,67949.65709
1830.709153,2539.908536,68662.97953
6235.674577,2924.802093,63891.4951
5747.421011,7263.611978,37067.94344
9467.988609,1280.399283,57917.95908
2714.692656,4451.201593,63364.86096
8462.580366,2890.275964,59083.91291
3207.910307,7390.317918,57888.29572
9699.933337,-1791.042893,65849.22781
6526.466932,7007.340488,38616.79966
7598.642888,3209.874909,60501.46422
6846.576887,6684.049627,52579.25046
